year,decile,average_income
2001,0,44510.3692048596
2002,0,46613.47700941095
2003,0,43219.742183892486
2003,1,32122.85489507926
2004,0,44949.82069569537
2004,1,41015.9152687935
2004,2,39461.04725992313
2005,0,49386.96590356122
2005,1,46847.28264673655
2006,0,51242.521463692254
2006,1,51427.218607633346
2006,2,80735.25972093974
2007,0,50393.75471014851
2007,1,57204.890274977675
2007,2,66187.90445700241
2007,3,52462.82907213541
2007,4,63920.650879033645
2007,5,67038.05552215195
2008,0,44814.5462669959
2008,1,48470.01535541292
2008,2,51763.75326687386
2008,3,59840.29164230964
2008,4,55941.73714152535
2008,5,67109.94721736368
2008,6,58974.02764412473
2008,7,58317.48695018395
2009,0,34506.56628296987
2009,1,43377.44488901526
2009,2,46740.98555578403
2009,3,53240.84764593949
2009,4,53336.172530533164
2009,5,51106.6943466619
2009,6,55100.84865585075
2009,7,62831.393149684314
2009,8,58427.30863286196
2009,9,61757.43295851161
2010,0,43549.50182570118
2010,1,43301.61927723821
2010,2,50814.765149490784
2010,3,63904.69455829345
2010,4,64769.64783054079
2010,5,61340.40839215615
2010,6,62531.21762102256
2010,7,72440.53833182651
2010,8,63362.49645036418
2010,9,65443.27894169578
2011,0,39965.54748771677
2011,1,48302.44501359451
2011,2,61121.02113783646
2011,3,65032.70421394911
2011,4,62765.464963784274
2011,5,66520.31890584905
2011,6,72513.16502284486
2011,7,67005.13054265958
2011,8,60481.98686348972
2011,9,66231.42666389604
2012,0,45728.177152952936
2012,1,53865.19803421794
2012,2,65308.77051368786
2012,3,56350.261338440025
2012,4,64993.953866184835
2012,5,66651.23463057882
2012,6,76483.265237193
2012,7,65811.17197103407
2012,8,60605.244127534155
2012,9,65205.06222312661
2013,0,42871.763236408486
2013,1,51279.74259515725
2013,2,62785.12761583107
2013,3,72668.60828657573
2013,4,68441.47245249701
2013,5,68639.73961799814
2013,6,72619.88211155758
2013,7,73171.43559669348
2013,8,62657.229964473256
2013,9,69197.15538285348
2014,0,42893.51001265547
2014,1,50995.18089652805
2014,2,64473.54105918607
2014,3,67668.74320227391
2014,4,70252.35902669959
2014,5,68985.93534253632
2014,6,66241.1061288674
2014,7,84305.78060784237
2014,8,69227.21602272
2014,9,72481.21928707116
2015,0,53564.699704810155
2015,1,58756.292235242625
2015,2,55168.43954384115
2015,3,64847.595485978236
2015,4,73286.40038749303
2015,5,70605.49395262125
2015,6,78900.02814517179
2015,7,76522.19150237774
2015,8,73274.05639917256
2015,9,75127.20124186468
2016,0,52021.606019024
2016,1,78001.94125004894
2016,2,59495.234888895015
2016,3,74786.7133881704
2016,4,69310.26458542439
2016,5,78470.44965599889
2016,6,77442.08394920494
2016,7,85706.22959854722
2016,8,72991.86319922797
2016,9,75613.38327974739
2017,0,63536.57719714537
2017,1,64354.84816445232
2017,2,64035.78242870546
2017,3,78350.40756635898
2017,4,83323.30339761825
2017,5,80823.93581381903
2017,6,86606.90399433603
2017,7,86204.27976962966
2017,8,78257.43660323361
2017,9,82964.61702151064
2018,0,80020.48430024757
2018,1,69678.77858669519
2018,2,60255.13756100806
2018,3,76561.5735322478
2018,4,92712.95431809292
2018,5,80873.55507290023
2018,6,84723.69301370165
2018,7,122184.3095550363
2018,8,81113.53790973956
2018,9,87289.85952260614
