year,income_group,data
2001,Lower (<50000),0.02877697841726619
2001,Middle-Lower (50000-100000),0.012578616352201259
2001,Middle-Upper (100000-150000),0.0
2001,Upper (>150000),0.1111111111111111
2002,Lower (<50000),0.03258145363408521
2002,Middle-Lower (50000-100000),0.044444444444444446
2002,Middle-Upper (100000-150000),0.08333333333333333
2002,Upper (>150000),0.0
2003,Lower (<50000),0.24691358024691357
2003,Middle-Lower (50000-100000),0.19444444444444445
2003,Middle-Upper (100000-150000),0.1875
2003,Upper (>150000),0.2
2004,Lower (<50000),0.3569553805774278
2004,Middle-Lower (50000-100000),0.24882629107981222
2004,Middle-Upper (100000-150000),0.1875
2004,Upper (>150000),0.0
2005,Lower (<50000),0.328804347826087
2005,Middle-Lower (50000-100000),0.3406113537117904
2005,Middle-Upper (100000-150000),0.29411764705882354
2005,Upper (>150000),0.1111111111111111
2006,Lower (<50000),0.6072423398328691
2006,Middle-Lower (50000-100000),0.5654008438818565
2006,Middle-Upper (100000-150000),0.47368421052631576
2006,Upper (>150000),0.75
2007,Lower (<50000),1.9695121951219512
2007,Middle-Lower (50000-100000),2.822641509433962
2007,Middle-Upper (100000-150000),3.8
2007,Upper (>150000),3.0
2008,Lower (<50000),4.303116147308782
2008,Middle-Lower (50000-100000),8.085365853658537
2008,Middle-Upper (100000-150000),8.842105263157896
2008,Upper (>150000),5.0
2009,Lower (<50000),23.906432748538013
2009,Middle-Lower (50000-100000),62.908
2009,Middle-Upper (100000-150000),38.391304347826086
2009,Upper (>150000),19.25
2010,Lower (<50000),49.3271375464684
2010,Middle-Lower (50000-100000),119.18730158730159
2010,Middle-Upper (100000-150000),73.97560975609755
2010,Upper (>150000),32.142857142857146
2011,Lower (<50000),51.24081632653061
2011,Middle-Lower (50000-100000),126.61933534743203
2011,Middle-Upper (100000-150000),56.07142857142857
2011,Upper (>150000),29.2
2012,Lower (<50000),44.83794466403162
2012,Middle-Lower (50000-100000),99.50470219435736
2012,Middle-Upper (100000-150000),49.04651162790697
2012,Upper (>150000),27.53846153846154
2013,Lower (<50000),30.606986899563317
2013,Middle-Lower (50000-100000),76.0860534124629
2013,Middle-Upper (100000-150000),40.224489795918366
2013,Upper (>150000),22.846153846153847
2014,Lower (<50000),27.95909090909091
2014,Middle-Lower (50000-100000),80.79765395894428
2014,Middle-Upper (100000-150000),50.370370370370374
2014,Upper (>150000),31.53846153846154
2015,Lower (<50000),20.037383177570092
2015,Middle-Lower (50000-100000),62.833333333333336
2015,Middle-Upper (100000-150000),38.60655737704918
2015,Upper (>150000),20.0
2016,Lower (<50000),22.139896373056995
2016,Middle-Lower (50000-100000),55.485632183908045
2016,Middle-Upper (100000-150000),44.6865671641791
2016,Upper (>150000),24.88888888888889
2017,Lower (<50000),27.94736842105263
2017,Middle-Lower (50000-100000),67.37808219178082
2017,Middle-Upper (100000-150000),54.609756097560975
2017,Upper (>150000),54.92307692307692
2018,Lower (<50000),38.03361344537815
2018,Middle-Lower (50000-100000),109.09703504043127
2018,Middle-Upper (100000-150000),102.36538461538461
2018,Upper (>150000),91.46666666666667
